delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.25,electricity,rf,1,0.8189,0.8053,0.0136,0.091,5,0.1064,4,0.65
0.25,electricity,rf,2,0.8196,0.806,0.0136,0.0879,5,0.1008,4,0.67
0.25,electricity,rf,3,0.8209,0.8076,0.0133,0.094,5,0.1018,4,0.64
0.25,electricity,rf,4,0.8218,0.8076,0.0142,0.0903,5,0.1,4,0.64
0.25,electricity,hgb,0,0.8736,0.856,0.0176,0.0609,4,0.0721,4,0.62
0.25,electricity,hgb,1,0.8769,0.8567,0.0202,0.0666,4,0.0722,4,0.61
0.25,electricity,hgb,2,0.8789,0.8673,0.0116,0.0674,4,0.0773,3,0.62
0.25,electricity,hgb,3,0.8729,0.8613,0.0116,0.0619,4,0.0721,4,0.56
0.25,electricity,hgb,4,0.8744,0.8553,0.0191,0.0617,4,0.071,4,0.66
0.25,electricity,mlp,0,0.79,0.7751,0.0149,0.1061,4,0.0926,6,0.68
0.25,electricity,mlp,1,0.7891,0.7687,0.0204,0.1088,4,0.0983,5,0.78
0.25,electricity,mlp,2,0.7876,0.7742,0.0133,0.1049,4,0.0907,5,0.73
0.25,electricity,mlp,3,0.7887,0.7773,0.0113,0.0997,4,0.0867,4,0.64
0.25,electricity,mlp,4,0.7922,0.7684,0.0238,0.1147,2,0.1098,2,0.74
0.5,adult,logreg,0,0.8442,0.8251,0.0191,0.2006,1,0.1761,2,0.82
0.5,adult,logreg,1,0.8442,0.8251,0.0191,0.2035,1,0.1761,2,0.82
0.5,adult,logreg,2,0.8442,0.8251,0.0191,0.1987,1,0.1761,2,0.82
0.5,adult,logreg,3,0.8442,0.8251,0.0191,0.1983,1,0.1761,2,0.82
0.5,adult,logreg,4,0.8442,0.8251,0.0191,0.2088,1,0.1761,2,0.82
0.5,adult,rf,0,0.8469,0.8338,0.0131,0.1498,2,0.1533,2,0.94
0.5,adult,rf,1,0.8473,0.8347,0.0127,0.1464,2,0.1414,3,0.91
