dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,rf,treeshap,spur,random,0,4,0.0,0.2,-0.475,0.8183862937452194,1.0
adult,rf,treeshap,spur,random,1,2,0.0,0.0,-0.5964285714285712,0.41656353548584724,1.0
adult,rf,treeshap,spur,random,1,3,0.3333333333333333,0.4,-0.1857142857142857,0.5630912864286077,1.0
adult,rf,treeshap,spur,random,1,4,0.3333333333333333,0.2,0.05357142857142857,0.677921390427849,1.0
adult,rf,treeshap,spur,random,2,3,0.0,0.4,0.039285714285714285,0.7624739225950261,1.0
adult,rf,treeshap,spur,random,2,4,0.0,0.2,-0.039285714285714285,0.7802469144554279,1.0
adult,rf,treeshap,spur,random,3,4,0.0,0.2,-0.4142857142857142,0.6725783922514357,1.0
adult,rf,treeshap,spur,permuted,0,1,0.3333333333333333,0.2,0.0035714285714285704,0.45301434506172306,1.0
adult,rf,treeshap,spur,permuted,0,2,0.0,0.2,-0.007142857142857141,0.20674403736200886,1.0
adult,rf,treeshap,spur,permuted,0,3,0.3333333333333333,0.4,0.2178571428571428,0.3534482051650823,1.0
adult,rf,treeshap,spur,permuted,0,4,0.3333333333333333,0.4,0.075,0.4124536749968697,1.0
adult,rf,treeshap,spur,permuted,1,2,0.3333333333333333,0.4,-0.06785714285714285,0.31105925673921186,1.0
adult,rf,treeshap,spur,permuted,1,3,0.3333333333333333,0.4,-0.13214285714285715,0.2559025401037779,1.0
adult,rf,treeshap,spur,permuted,1,4,0.3333333333333333,0.6,0.11071428571428568,0.3321840605748624,1.0
adult,rf,treeshap,spur,permuted,2,3,0.0,0.2,-0.0857142857142857,0.16562994042139748,1.0
adult,rf,treeshap,spur,permuted,2,4,0.0,0.4,0.32499999999999996,0.2714125746755968,1.0
adult,rf,treeshap,spur,permuted,3,4,0.3333333333333333,0.4,0.07142857142857141,0.305063042197471,1.0
